item,qty,sku,approx_usd,buy_url,docs_url,notes
LilyGO T-A7670G R2 with GPS,1,T-A7670G-GPS,37.00,https://www.amazon.com/LILYGO-T-A7670G-Module-Development-Support/dp/B0CLLNMRX7,https://github.com/Xinyuan-LilyGO/LilyGo-Modem-Series/blob/main/docs/en/esp32/a7670-esp32/README.MD,"ESP32 + A7670G LTE + external L76K GPS + microSD + 18650 holder + 5–6 V solar jack. Official docs: https://lilygo.cc/products/t-sim-a7670e — do NOT buy the Without-GPS ASIN B0CLLNK4MX. Solar cannot power the board with no battery."
Gravity industrial pH meter V2,1,SEN0169-V2,64.90,https://www.dfrobot.com/product-2069.html,https://wiki.dfrobot.com/sen0169-v2/,"7/24 industrial probe. Supply 3.3–5.5 V; analog out 0–3.0 V; ±0.1 pH @ 25 °C (DFRobot). Lab SEN0161 is the wrong probe."
Gravity analog EC K=10,1,DFR0300-H,79.90,https://www.dfrobot.com/product-1797.html,https://wiki.dfrobot.com/dfr0300-h/,"Estuarine/seawater range 10–100 mS/cm; out 0–3.2 V; ±5% F.S. Laboratory-grade probe — DFRobot: do not leave immersed long-term. Library DFRobot_EC10. Includes 12.88 mS/cm buffers."
Gravity analog dissolved oxygen,1,SEN0237-A,169.00,https://www.dfrobot.com/product-1628.html,https://wiki.dfrobot.com/Gravity__Analog_Dissolved_Oxygen_Sensor_SKU_SEN0237,"Galvanic; 3.3–5.5 V; analog out 0–3.0 V; 0–20 mg/L. Filling solution is 0.5 mol/L NaOH — gloves and goggles. Not an optical EXO probe."
Gravity waterproof DS18B20 kit,1,KIT0021,7.50,https://www.dfrobot.com/product-1354.html,https://wiki.dfrobot.com/kit0021/,"±0.5 °C from −10 to +85 °C (Maxim/DFRobot). Kit includes pull-up adapter — no extra 4.7 kΩ."
SparkFun MS5803-14BA pressure breakout,1,SEN-12909,80.50,https://www.sparkfun.com/sparkfun-pressure-sensor-breakout-ms5803-14ba.html,https://learn.sparkfun.com/tutorials/ms5803-14ba-pressure-sensor-hookup-guide,"0–14 bar gel-protected; 1.8–3.6 V; I2C. Depth from pressure. Waterproof the breakout in epoxy/heat-shrink; the gel is on the sensor face only."
Voltaic 10 W 6 V ETFE solar panel (P110),1,Adafruit-5369,64.95,https://www.adafruit.com/product/5369,https://voltaicsystems.com/10-watt-panel-etfe/,"Peak 5.71 V / 9.54 W; Voc 6.94 V. LilyGO solar jack is specified 5–6 V. Do not use a 12 V panel. Board cannot run from solar with no battery."
Protected Li-ion 3.7 V 2200 mAh (18650-size),1,ADAFRUIT-1781,9.95,https://www.adafruit.com/product/1781,https://github.com/Xinyuan-LilyGO/LilyGo-Modem-Series/blob/main/docs/en/esp32/a7670-esp32/README.MD,"Protected cell. LilyGO sled wants a bare 18650; this pack has a JST pigtail — use the VBAT header (LilyGO electrical notes) or a protected 18650 that physically fits the sled. Never use damaged cells. Solar cannot run the board with no battery."
Pelican 1120 Protector Case,1,1120,42.00,https://www.pelican.com/us/en/product/cases/protector/1120,https://www.pelican.com/us/en/product/cases/protector/1120,"IP67 deck box. Drill for PG glands on the bottom face only."
PG-9 cable gland,4,ADAFRUIT-761,1.95,https://www.adafruit.com/product/761,https://www.adafruit.com/product/761,"Qty 4. 0.158–0.252 in cable. Silicone on threads. Line total ≈ $7.80."
